regiao,ano,mes,precipitacao_total_mm,temperatura_media_c,temperatura_max_media_c,dias_secos,total_dias,pct_dias_secos,risco_seca,risco_numerico,isa,isa_categoria
Barreiras-BA (Graos),2024,1,246.4,26.2,31.22,8,31,25.8,Baixo,0,12.1,Normal
Barreiras-BA (Graos),2024,2,204.8,25.36,30.28,17,29,58.6,Medio,1,23.2,Normal
Barreiras-BA (Graos),2024,3,43.2,27.96,34.12,25,31,80.6,Alto,2,71.4,Alerta
Barreiras-BA (Graos),2024,4,89.6,26.83,32.69,15,30,50.0,Medio,1,48.5,Atencao
Barreiras-BA (Graos),2024,5,0.1,27.18,35.26,31,31,100.0,Alto,2,88.6,Critico
Barreiras-BA (Graos),2024,6,0.4,25.36,33.1,30,30,100.0,Alto,2,87.6,Critico
Barreiras-BA (Graos),2024,7,0.2,24.31,32.5,31,31,100.0,Alto,2,87.1,Critico
Barreiras-BA (Graos),2024,8,0.4,26.17,34.25,31,31,100.0,Alto,2,88.0,Critico
Barreiras-BA (Graos),2024,9,0.2,27.33,36.26,30,30,100.0,Alto,2,88.6,Critico
Barreiras-BA (Graos),2024,10,95.0,29.59,36.11,22,31,71.0,Alto,2,55.9,Alerta
Barreiras-BA (Graos),2024,11,174.2,26.72,31.85,15,30,50.0,Medio,1,27.3,Normal
Barreiras-BA (Graos),2024,12,64.6,28.4,34.47,20,31,64.5,Medio,1,60.6,Alerta
Passo Fundo-RS (Trigo),2024,1,158.4,22.58,27.36,18,31,58.1,Medio,1,32.0,Atencao
Passo Fundo-RS (Trigo),2024,2,127.3,23.77,28.42,16,29,55.2,Medio,1,39.4,Atencao
Passo Fundo-RS (Trigo),2024,3,155.3,22.14,27.33,18,31,58.1,Medio,1,32.6,Atencao
Passo Fundo-RS (Trigo),2024,4,240.0,20.6,25.89,9,30,30.0,Baixo,0,10.8,Normal
Passo Fundo-RS (Trigo),2024,5,395.4,15.08,19.67,13,31,41.9,Medio,1,14.7,Normal
Passo Fundo-RS (Trigo),2024,6,215.9,15.28,20.29,18,30,60.0,Medio,1,21.0,Normal
Passo Fundo-RS (Trigo),2024,7,60.9,11.94,17.05,18,31,58.1,Medio,1,55.1,Alerta
Passo Fundo-RS (Trigo),2024,8,63.6,14.27,20.07,23,31,74.2,Alto,2,60.1,Alerta
Passo Fundo-RS (Trigo),2024,9,121.1,18.15,24.42,22,30,73.3,Alto,2,45.4,Atencao
Passo Fundo-RS (Trigo),2024,10,142.8,19.21,25.08,20,31,64.5,Medio,1,36.9,Atencao
Passo Fundo-RS (Trigo),2024,11,57.3,21.57,27.42,19,30,63.3,Medio,1,58.6,Alerta
Passo Fundo-RS (Trigo),2024,12,122.9,20.75,26.53,16,31,51.6,Medio,1,37.7,Atencao
Ribeirao Preto-SP (Cana),2024,1,118.3,26.22,32.74,10,31,32.3,Baixo,0,34.8,Atencao
Ribeirao Preto-SP (Cana),2024,2,94.2,26.1,32.47,11,29,37.9,Medio,1,42.8,Atencao
Ribeirao Preto-SP (Cana),2024,3,150.4,26.03,32.09,9,31,29.0,Baixo,0,25.6,Normal
Ribeirao Preto-SP (Cana),2024,4,22.4,24.63,31.6,22,30,73.3,Alto,2,72.4,Alerta
Ribeirao Preto-SP (Cana),2024,5,8.3,23.61,32.09,29,31,93.5,Alto,2,82.5,Critico
Ribeirao Preto-SP (Cana),2024,6,0.8,22.05,30.44,30,30,100.0,Alto,2,85.8,Critico
Ribeirao Preto-SP (Cana),2024,7,2.6,21.92,30.47,30,31,96.8,Alto,2,84.2,Critico
Ribeirao Preto-SP (Cana),2024,8,10.5,22.32,31.42,29,31,93.5,Alto,2,81.3,Critico
Ribeirao Preto-SP (Cana),2024,9,5.6,27.67,36.77,28,30,93.3,Alto,2,85.1,Critico
Ribeirao Preto-SP (Cana),2024,10,184.7,26.38,33.16,17,31,54.8,Medio,1,26.2,Normal
Ribeirao Preto-SP (Cana),2024,11,255.4,23.5,28.03,13,30,43.3,Medio,1,16.9,Normal
Ribeirao Preto-SP (Cana),2024,12,188.8,24.07,28.47,7,31,22.6,Baixo,0,12.7,Normal
Rondonopolis-MT (Algodao),2024,1,94.0,29.35,35.53,14,31,45.2,Medio,1,47.0,Atencao
Rondonopolis-MT (Algodao),2024,2,82.1,29.43,35.71,7,29,24.1,Medio,1,42.6,Atencao
Rondonopolis-MT (Algodao),2024,3,174.1,29.63,35.25,8,31,25.8,Baixo,0,20.3,Normal
Rondonopolis-MT (Algodao),2024,4,109.9,27.81,33.52,13,30,43.3,Medio,1,41.6,Atencao
Rondonopolis-MT (Algodao),2024,5,1.0,27.14,36.0,31,31,100.0,Alto,2,88.3,Critico
Rondonopolis-MT (Algodao),2024,6,0.5,26.69,35.59,30,30,100.0,Alto,2,88.2,Critico
Rondonopolis-MT (Algodao),2024,7,0.4,26.14,35.12,31,31,100.0,Alto,2,88.0,Critico
Rondonopolis-MT (Algodao),2024,8,0.5,27.7,37.07,31,31,100.0,Alto,2,88.7,Critico
Rondonopolis-MT (Algodao),2024,9,5.7,32.13,40.93,29,30,96.7,Alto,2,88.5,Critico
Rondonopolis-MT (Algodao),2024,10,125.7,31.32,38.31,15,31,48.4,Medio,1,41.2,Atencao
Rondonopolis-MT (Algodao),2024,11,176.3,28.4,33.8,6,30,20.0,Baixo,0,17.1,Normal
Rondonopolis-MT (Algodao),2024,12,137.4,28.33,33.72,5,31,16.1,Baixo,0,25.4,Normal
Sorriso-MT (Soja),2024,1,303.8,25.45,28.9,4,31,12.9,Baixo,0,7.2,Normal
Sorriso-MT (Soja),2024,2,252.4,25.44,29.11,4,29,13.8,Baixo,0,7.6,Normal
Sorriso-MT (Soja),2024,3,178.2,25.86,29.12,5,31,16.1,Baixo,0,14.0,Normal
Sorriso-MT (Soja),2024,4,176.4,25.59,28.88,4,30,13.3,Baixo,0,13.3,Normal
Sorriso-MT (Soja),2024,5,27.4,23.95,29.61,18,31,58.1,Alto,2,65.5,Alerta
Sorriso-MT (Soja),2024,6,25.9,24.0,31.87,14,30,46.7,Alto,2,61.9,Alerta
Sorriso-MT (Soja),2024,7,27.0,23.33,32.52,11,31,35.5,Alto,2,57.3,Alerta
Sorriso-MT (Soja),2024,8,2.2,26.36,35.45,31,31,100.0,Alto,2,87.6,Critico
Sorriso-MT (Soja),2024,9,11.3,29.75,38.66,28,30,93.3,Alto,2,84.7,Critico
Sorriso-MT (Soja),2024,10,131.0,29.86,36.82,16,31,51.6,Medio,1,40.2,Atencao
Sorriso-MT (Soja),2024,11,215.6,25.73,29.76,5,30,16.7,Baixo,0,8.7,Normal
Sorriso-MT (Soja),2024,12,118.7,26.35,30.69,11,31,35.5,Baixo,0,35.9,Atencao
Uberlandia-MG (Milho),2024,1,120.0,25.27,30.48,11,31,35.5,Baixo,0,35.1,Atencao
Uberlandia-MG (Milho),2024,2,90.2,25.04,31.05,10,29,34.5,Medio,1,42.0,Atencao
Uberlandia-MG (Milho),2024,3,191.2,25.32,30.55,5,31,16.1,Baixo,0,10.5,Normal
Uberlandia-MG (Milho),2024,4,28.2,24.22,30.3,23,30,76.7,Alto,2,71.9,Alerta
Uberlandia-MG (Milho),2024,5,1.8,23.46,31.73,31,31,100.0,Alto,2,86.3,Critico
Uberlandia-MG (Milho),2024,6,0.2,21.4,29.35,30,30,100.0,Alto,2,85.7,Critico
Uberlandia-MG (Milho),2024,7,0.2,21.63,29.81,31,31,100.0,Alto,2,85.8,Critico
Uberlandia-MG (Milho),2024,8,0.2,22.11,30.9,31,31,100.0,Alto,2,86.0,Critico
Uberlandia-MG (Milho),2024,9,0.9,27.16,35.57,30,30,100.0,Alto,2,88.4,Critico
Uberlandia-MG (Milho),2024,10,127.0,26.5,32.51,14,31,45.2,Medio,1,37.3,Atencao
Uberlandia-MG (Milho),2024,11,239.3,23.36,27.78,5,30,16.7,Baixo,0,7.5,Normal
Uberlandia-MG (Milho),2024,12,144.4,24.24,28.99,6,31,19.4,Baixo,0,22.8,Normal
