data,regiao,precipitacao_mm,temperatura_media_c,temperatura_max_c
2015-01-01,Barreiras-BA (Graos),0.08,26.83,33.37
2015-01-02,Barreiras-BA (Graos),0.0,26.17,33.68
2015-01-03,Barreiras-BA (Graos),0.01,27.29,34.9
2015-01-04,Barreiras-BA (Graos),0.28,26.38,33.48
2015-01-05,Barreiras-BA (Graos),0.77,27.24,33.58
2015-01-06,Barreiras-BA (Graos),0.14,28.27,34.93
2015-01-07,Barreiras-BA (Graos),1.36,28.25,34.31
2015-01-08,Barreiras-BA (Graos),0.36,27.42,33.69
2015-01-09,Barreiras-BA (Graos),0.04,28.41,34.98
2015-01-10,Barreiras-BA (Graos),1.67,28.14,33.85
2015-01-11,Barreiras-BA (Graos),0.02,28.42,33.94
2015-01-12,Barreiras-BA (Graos),0.0,27.48,33.32
2015-01-13,Barreiras-BA (Graos),0.0,27.19,33.29
2015-01-14,Barreiras-BA (Graos),0.0,27.45,34.48
2015-01-15,Barreiras-BA (Graos),0.0,28.54,35.44
2015-01-16,Barreiras-BA (Graos),0.16,27.26,32.82
2015-01-17,Barreiras-BA (Graos),0.11,28.71,35.13
2015-01-18,Barreiras-BA (Graos),0.09,29.69,35.75
2015-01-19,Barreiras-BA (Graos),0.25,28.13,33.6
2015-01-20,Barreiras-BA (Graos),1.13,29.06,36.16
2015-01-21,Barreiras-BA (Graos),3.68,26.31,31.18
2015-01-22,Barreiras-BA (Graos),16.16,24.81,30.73
2015-01-23,Barreiras-BA (Graos),8.63,24.91,31.02
2015-01-24,Barreiras-BA (Graos),7.57,24.87,30.06
2015-01-25,Barreiras-BA (Graos),44.62,23.47,26.47
2015-01-26,Barreiras-BA (Graos),27.99,23.3,27.0
2015-01-27,Barreiras-BA (Graos),0.03,24.86,28.77
2015-01-28,Barreiras-BA (Graos),0.0,25.24,30.25
2015-01-29,Barreiras-BA (Graos),0.0,24.85,30.63
2015-01-30,Barreiras-BA (Graos),0.08,25.24,31.39
2015-01-31,Barreiras-BA (Graos),4.0,25.54,29.86
2015-02-01,Barreiras-BA (Graos),0.61,24.78,28.8
2015-02-02,Barreiras-BA (Graos),1.11,23.88,27.62
2015-02-03,Barreiras-BA (Graos),2.02,24.14,29.03
2015-02-04,Barreiras-BA (Graos),7.1,23.8,28.57
2015-02-05,Barreiras-BA (Graos),2.26,23.57,27.99
2015-02-06,Barreiras-BA (Graos),27.05,22.61,25.71
2015-02-07,Barreiras-BA (Graos),43.95,22.79,26.19
2015-02-08,Barreiras-BA (Graos),7.04,23.13,27.21
2015-02-09,Barreiras-BA (Graos),2.32,22.37,25.47
2015-02-10,Barreiras-BA (Graos),0.25,24.36,28.74
2015-02-11,Barreiras-BA (Graos),0.0,24.52,29.77
2015-02-12,Barreiras-BA (Graos),0.0,24.75,29.91
2015-02-13,Barreiras-BA (Graos),0.01,24.73,30.46
2015-02-14,Barreiras-BA (Graos),0.0,24.55,29.55
2015-02-15,Barreiras-BA (Graos),0.51,24.63,29.9
2015-02-16,Barreiras-BA (Graos),0.75,25.15,29.73
2015-02-17,Barreiras-BA (Graos),0.44,25.02,29.46
2015-02-18,Barreiras-BA (Graos),1.47,23.95,28.23
2015-02-19,Barreiras-BA (Graos),8.41,23.72,28.41
2015-02-20,Barreiras-BA (Graos),1.9,23.29,27.25
2015-02-21,Barreiras-BA (Graos),0.47,24.76,30.02
2015-02-22,Barreiras-BA (Graos),5.15,24.71,30.88
2015-02-23,Barreiras-BA (Graos),5.55,23.54,29.94
2015-02-24,Barreiras-BA (Graos),2.9,23.25,28.1
2015-02-25,Barreiras-BA (Graos),0.13,24.87,30.36
2015-02-26,Barreiras-BA (Graos),0.74,25.23,29.94
2015-02-27,Barreiras-BA (Graos),1.47,25.95,30.8
2015-02-28,Barreiras-BA (Graos),2.27,25.72,30.44
2015-03-01,Barreiras-BA (Graos),3.81,25.44,29.74
2015-03-02,Barreiras-BA (Graos),0.82,24.97,30.04
2015-03-03,Barreiras-BA (Graos),1.04,26.05,31.42
2015-03-04,Barreiras-BA (Graos),3.73,25.21,29.73
2015-03-05,Barreiras-BA (Graos),0.13,26.27,32.99
2015-03-06,Barreiras-BA (Graos),0.19,27.23,33.49
2015-03-07,Barreiras-BA (Graos),2.24,26.27,31.33
2015-03-08,Barreiras-BA (Graos),2.1,26.68,32.72
2015-03-09,Barreiras-BA (Graos),0.17,27.88,34.04
2015-03-10,Barreiras-BA (Graos),1.11,28.17,34.49
2015-03-11,Barreiras-BA (Graos),12.87,25.54,30.33
2015-03-12,Barreiras-BA (Graos),2.44,25.39,30.23
2015-03-13,Barreiras-BA (Graos),0.01,27.05,33.2
2015-03-14,Barreiras-BA (Graos),0.0,26.76,33.12
2015-03-15,Barreiras-BA (Graos),0.02,27.82,34.25
2015-03-16,Barreiras-BA (Graos),2.02,27.56,33.43
2015-03-17,Barreiras-BA (Graos),1.44,25.43,30.12
2015-03-18,Barreiras-BA (Graos),5.93,23.89,29.03
2015-03-19,Barreiras-BA (Graos),26.94,23.48,27.28
2015-03-20,Barreiras-BA (Graos),25.34,22.91,26.67
2015-03-21,Barreiras-BA (Graos),15.14,23.14,27.31
2015-03-22,Barreiras-BA (Graos),7.31,23.51,27.68
2015-03-23,Barreiras-BA (Graos),4.49,23.08,26.29
2015-03-24,Barreiras-BA (Graos),0.47,23.51,27.35
2015-03-25,Barreiras-BA (Graos),0.31,24.97,29.57
2015-03-26,Barreiras-BA (Graos),1.75,25.18,29.22
2015-03-27,Barreiras-BA (Graos),1.58,25.25,29.46
2015-03-28,Barreiras-BA (Graos),0.49,25.85,30.74
2015-03-29,Barreiras-BA (Graos),0.33,25.96,30.97
2015-03-30,Barreiras-BA (Graos),0.21,26.52,31.79
2015-03-31,Barreiras-BA (Graos),0.05,27.18,32.06
2015-04-01,Barreiras-BA (Graos),0.01,27.3,32.68
2015-04-02,Barreiras-BA (Graos),1.39,27.37,33.7
2015-04-03,Barreiras-BA (Graos),0.94,27.15,33.44
2015-04-04,Barreiras-BA (Graos),3.48,27.29,32.94
